,ip,city,lat,lon,time,day,month,year,page
0,216.197.71.109,Charlottesville,38.03035,-78.4793,21:14:53,24,February,2024,Lineup_Dashboard
1,216.197.71.109,Charlottesville,38.03035,-78.4793,21:15:29,24,February,2024,Lineup_Dashboard
2,216.197.71.109,Charlottesville,38.03035,-78.4793,21:15:55,24,February,2024,Lineup_Dashboard
3,216.197.71.109,Charlottesville,38.03035,-78.4793,21:36:44,24,February,2024,Lineup_Dashboard
4,216.197.71.109,Charlottesville,38.03035,-78.4793,21:37:21,24,February,2024,Lineup_Dashboard
5,216.197.71.109,Charlottesville,38.03035,-78.4793,21:37:37,24,February,2024,Lineup_Dashboard
6,216.197.71.109,Charlottesville,38.03035,-78.4793,21:37:39,24,February,2024,Lineup_Dashboard
7,216.197.71.109,Charlottesville,38.03035,-78.4793,21:42:05,24,February,2024,Lineup_Dashboard
8,216.197.71.109,Charlottesville,38.03035,-78.4793,21:42:38,24,February,2024,Lineup_Dashboard
9,216.197.71.109,Charlottesville,38.02931,-78.47668,19:17:23,27,February,2024,Lineup_Dashboard
10,216.197.71.109,Charlottesville,38.02931,-78.47668,19:18:42,27,February,2024,Lineup_Dashboard
11,216.197.71.109,Charlottesville,38.02931,-78.47668,19:18:44,27,February,2024,Live_Game_Dashboard
12,216.197.71.109,Charlottesville,38.02931,-78.47668,19:18:45,27,February,2024,Hello
13,216.197.71.109,Charlottesville,38.02931,-78.47668,19:18:47,27,February,2024,Player_Dashboard
14,216.197.71.109,Charlottesville,38.02931,-78.47668,19:18:49,27,February,2024,All_Raw_Data
15,216.197.71.109,Charlottesville,38.02931,-78.47668,19:56:46,28,February,2024,Hello
16,216.197.71.109,Charlottesville,38.02931,-78.47668,19:58:59,28,February,2024,Hello
17,73.123.229.233,Weare,43.12444,-71.76812,16:56:51,2,March,2024,Hello
18,73.123.229.233,Weare,43.12444,-71.76812,16:57:06,2,March,2024,Player_Dashboard
19,73.123.229.233,,,,17:01:49,2,March,2024,Player_Dashboard
20,73.123.229.233,Weare,43.12444,-71.76812,17:02:15,2,March,2024,Player_Dashboard
21,73.123.229.233,Weare,43.12444,-71.76812,17:04:56,2,March,2024,Player_Dashboard
22,73.123.229.233,Weare,43.12444,-71.76812,17:05:54,2,March,2024,Projects
23,73.123.229.233,Weare,43.12444,-71.76812,17:05:58,2,March,2024,Projects
24,73.123.229.233,Weare,43.12444,-71.76812,17:05:59,2,March,2024,Projects
25,73.123.229.233,Weare,43.12444,-71.76812,17:06:00,2,March,2024,Projects
26,73.123.229.233,Weare,43.12444,-71.76812,17:06:00,2,March,2024,Projects
27,73.123.229.233,Weare,43.12444,-71.76812,17:06:01,2,March,2024,Projects
28,73.123.229.233,Weare,43.12444,-71.76812,17:07:16,2,March,2024,Projects
29,50.234.174.228,Mt Laurel,39.96657,-74.90327,17:57:47,2,March,2024,All_Raw_Data
30,50.234.174.228,Mt Laurel,39.96657,-74.90327,17:57:50,2,March,2024,Hello
31,50.234.174.228,Mt Laurel,39.96657,-74.90327,17:58:14,2,March,2024,Hello
32,50.234.174.228,,,,08:14:24,3,March,2024,Hello
33,4.1.81.166,Monroe,32.58997,-92.06862,06:56:02,5,March,2024,Hello
34,4.1.81.166,Monroe,32.58997,-92.06862,06:56:08,5,March,2024,Projects
35,4.1.81.166,Monroe,32.58997,-92.06862,06:56:13,5,March,2024,Live_Game_Dashboard
36,4.1.81.166,Monroe,32.58997,-92.06862,06:56:22,5,March,2024,Player_Dashboard
37,4.1.81.166,Monroe,32.58997,-92.06862,06:58:13,5,March,2024,Player_Dashboard
38,73.148.104.3,Carloover,37.91774,-79.85622,10:17:32,6,March,2024,Hello
39,73.148.104.3,Carloover,37.91774,-79.85622,10:18:31,6,March,2024,Player_Dashboard
40,73.148.104.3,Carloover,37.91774,-79.85622,10:32:11,6,March,2024,Player_Dashboard
41,73.177.217.59,Carloover,37.91774,-79.85622,16:19:22,6,March,2024,Hello
