,player_name,player_id,mean,hdi_lower,hdi_upper,percentile
0,Bam Adebayo,1628389,0.183,0.14,0.252,3
1,Santi Aldama,1630583,0.333,0.296,0.372,24
2,Nickeil Alexander-Walker,1629638,0.343,0.322,0.36,32
3,Grayson Allen,1628960,0.415,0.394,0.438,98
4,Jarrett Allen,1628386,0.21,0.139,0.274,4
5,Giannis Antetokounmpo,203507,0.288,0.265,0.308,8
6,OG Anunoby,1628384,0.374,0.353,0.392,71
7,Deni Avdija,1630166,0.328,0.303,0.357,18
8,Deandre Ayton,1629028,0.257,0.186,0.342,5
9,LaMelo Ball,1630163,0.375,0.349,0.4,72
10,Paolo Banchero,1631094,0.33,0.293,0.366,21
11,Desmond Bane,1630217,0.415,0.393,0.438,98
12,Harrison Barnes,203084,0.384,0.369,0.397,81
13,Scottie Barnes,1630567,0.312,0.277,0.348,11
14,RJ Barrett,1629628,0.353,0.332,0.374,45
15,Nicolas Batum,201587,0.367,0.353,0.379,59
16,Bradley Beal,203078,0.372,0.357,0.386,68
17,Malik Beasley,1627736,0.378,0.365,0.392,76
18,Saddiq Bey,1630180,0.355,0.34,0.375,47
19,Bogdan Bogdanovic,203992,0.385,0.369,0.406,83
20,Bojan Bogdanovic,202711,0.39,0.376,0.403,88
21,Devin Booker,1626164,0.357,0.34,0.373,50
22,Mikal Bridges,1628969,0.376,0.359,0.394,74
23,Miles Bridges,1628970,0.348,0.33,0.371,41
24,Malcolm Brogdon,1627763,0.391,0.37,0.411,90
25,Dillon Brooks,1628415,0.345,0.324,0.367,34
26,Bruce Brown,1628971,0.329,0.302,0.357,19
27,Jaylen Brown,1627759,0.364,0.346,0.382,56
28,Jalen Brunson,1628973,0.391,0.37,0.419,90
29,Jimmy Butler,202710,0.332,0.314,0.349,22
30,Kentavious Caldwell-Pope,203484,0.368,0.354,0.383,60
31,Toumani Camara,1641739,0.33,0.241,0.39,21
32,Clint Capela,203991,0.095,0.01,0.163,1
33,Wendell Carter Jr.,1628976,0.33,0.297,0.359,21
34,Alex Caruso,1627936,0.374,0.344,0.405,71
35,Jordan Clarkson,203903,0.342,0.33,0.355,32
36,Nic Claxton,1629651,0.222,0.116,0.322,4
37,John Collins,1628381,0.356,0.332,0.382,49
38,Mike Conley,201144,0.386,0.372,0.398,84
39,Bilal Coulibaly,1641731,0.352,0.291,0.423,44
40,Jae Crowder,203109,0.34,0.328,0.352,30
41,Cade Cunningham,1630595,0.327,0.294,0.358,17
42,Stephen Curry,201939,0.425,0.415,0.435,98
43,Anthony Davis,203076,0.299,0.273,0.326,9
44,DeMar DeRozan,201942,0.296,0.274,0.314,9
45,Donte DiVincenzo,1628978,0.368,0.35,0.387,60
46,Spencer Dinwiddie,203915,0.34,0.327,0.353,30
47,Luka Doncic,1629029,0.345,0.329,0.36,34
48,Luguentz Dort,1629652,0.346,0.321,0.37,36
49,Ayo Dosunmu,1630245,0.366,0.333,0.406,58
50,Kevin Durant,201142,0.389,0.375,0.401,88
51,Jalen Duren,1631105,0.156,0.092,0.197,2
52,Anthony Edwards,1630162,0.356,0.336,0.375,49
53,Joel Embiid,203954,0.339,0.316,0.362,29
54,Dorian Finney-Smith,1627827,0.352,0.334,0.367,44
55,Simone Fontecchio,1631323,0.389,0.362,0.42,88
56,De'Aaron Fox,1628368,0.332,0.311,0.35,22
57,Daniel Gafford,1629655,0.363,0.009,0.717,55
58,Darius Garland,1629636,0.384,0.362,0.408,81
59,Keyonte George,1641718,0.341,0.293,0.384,31
60,Paul George,202331,0.384,0.373,0.397,81
61,Josh Giddey,1630581,0.313,0.285,0.349,12
62,Shai Gilgeous-Alexander,1628983,0.35,0.327,0.375,43
63,Rudy Gobert,203497,0.051,0.012,0.167,0
64,Aaron Gordon,203932,0.324,0.307,0.342,15
65,Eric Gordon,201569,0.372,0.36,0.384,68
66,Jerami Grant,203924,0.364,0.346,0.383,56
67,Draymond Green,203110,0.319,0.299,0.338,14
68,Jalen Green,1630224,0.339,0.318,0.361,29
69,Josh Green,1630182,0.381,0.328,0.421,78
70,Rui Hachimura,1629060,0.348,0.316,0.379,41
71,Tyrese Haliburton,1630169,0.402,0.384,0.423,95
72,Tim Hardaway Jr.,203501,0.358,0.344,0.37,51
73,James Harden,201935,0.361,0.351,0.371,54
74,Tobias Harris,202699,0.373,0.36,0.387,70
75,Josh Hart,1628404,0.347,0.33,0.366,38
76,Isaiah Hartenstein,1628392,0.316,0.233,0.392,13
77,Killian Hayes,1630165,0.279,0.233,0.315,6
78,Gordon Hayward,202330,0.37,0.353,0.386,64
79,Scoot Henderson,1630703,0.305,0.217,0.381,11
80,Tyler Herro,1629639,0.385,0.361,0.406,83
81,Buddy Hield,1627741,0.391,0.38,0.402,90
82,Jrue Holiday,201950,0.371,0.356,0.385,67
83,Chet Holmgren,1631096,0.386,0.329,0.439,84
84,Al Horford,201143,0.38,0.36,0.399,77
85,Kevin Huerter,1628989,0.381,0.362,0.4,78
86,De'Andre Hunter,1629631,0.367,0.34,0.392,59
87,Brandon Ingram,1627742,0.364,0.34,0.387,56
88,Kyrie Irving,202681,0.391,0.377,0.404,90
89,Jaden Ivey,1631093,0.335,0.308,0.367,26
90,GG Jackson,1641713,0.359,0.311,0.427,52
91,Jaren Jackson Jr.,1628991,0.346,0.321,0.366,36
92,LeBron James,2544,0.348,0.336,0.359,41
93,Jaime Jaquez Jr.,1631170,0.304,0.224,0.364,10
94,Cameron Johnson,1629661,0.396,0.377,0.415,92
95,Jalen Johnson,1630552,0.327,0.252,0.359,17
96,Keldon Johnson,1629640,0.358,0.333,0.381,51
97,Nikola Jokic,203999,0.348,0.329,0.37,41
98,Herbert Jones,1630529,0.373,0.327,0.408,70
99,Tre Jones,1630200,0.3,0.257,0.338,10
100,Tyus Jones,1626145,0.368,0.346,0.394,60
101,Luke Kennard,1628379,0.452,0.432,0.472,100
102,Walker Kessler,1631117,0.291,0.176,0.433,8
103,Corey Kispert,1630557,0.386,0.359,0.415,84
104,Jonathan Kuminga,1630228,0.343,0.295,0.386,32
