,PLAYER_NAME,PLAYER_ID,MEAN,HDI_LOWER_BOUND,HDI_UPPER_BOUND,Z_SCORE,PERCENTILE
0,Bam Adebayo,1628389,0.753,0.444,0.998,0.9228309990188226,74
1,Santi Aldama,1630583,0.35,0.003,0.824,-0.3853996179212864,47
2,Nickeil Alexander-Walker,1629638,0.099,0.0,0.301,-1.2002033024174832,9
3,Grayson Allen,1628960,0.729,0.349,0.998,0.8449214833697838,72
4,Jarrett Allen,1628386,0.366,0.001,0.751,-0.3334599408219272,48
5,Giannis Antetokounmpo,203507,0.928,0.785,1.0,1.4909212172930635,91
6,OG Anunoby,1628384,0.928,0.771,0.998,1.4909212172930635,91
7,Deni Avdija,1630166,0.144,0.0,0.408,-1.0541229605755356,17
8,Deandre Ayton,1629028,0.355,0.0,0.842,-0.3691684688277367,47
9,LaMelo Ball,1630163,0.3,0.002,0.766,-0.5477111088567838,41
10,Paolo Banchero,1631094,0.23,0.001,0.64,-0.77494719616648,32
11,Desmond Bane,1630217,0.703,0.281,1.0,0.760519508083325,69
12,Harrison Barnes,203084,0.206,0.003,0.475,-0.8528567118155189,27
13,Scottie Barnes,1630567,0.45,0.018,0.952,-0.06077663605029153,55
14,RJ Barrett,1629628,0.146,0.0,0.41,-1.0476305009381157,18
15,Nicolas Batum,201587,0.856,0.632,0.998,1.257192670345947,83
16,Bradley Beal,203078,0.395,0.001,0.757,-0.23931927607933864,51
17,Malik Beasley,1627736,0.303,0.008,0.65,-0.5379724194006539,42
18,Saddiq Bey,1630180,0.09,0.0,0.252,-1.229419370785873,8
19,Bogdan Bogdanovic,203992,0.366,0.019,0.8,-0.3334599408219272,48
20,Bojan Bogdanovic,202711,0.071,0.0,0.212,-1.2910977373413617,6
21,Devin Booker,1626164,0.35,0.012,0.773,-0.3853996179212864,47
22,Mikal Bridges,1628969,0.617,0.195,0.994,0.4813437436742697,63
23,Miles Bridges,1628970,0.119,0.0,0.315,-1.1352787060432843,13
24,Malcolm Brogdon,1627763,0.725,0.37,0.993,0.831936564094944,72
25,Dillon Brooks,1628415,0.511,0.054,0.935,0.1372433828910153,58
26,Bruce Brown,1628971,0.2,0.002,0.517,-0.8723340907277785,25
27,Jaylen Brown,1627759,0.918,0.772,1.0,1.458458919105964,87
28,Jalen Brunson,1628973,0.829,0.524,0.998,1.1695444652407785,80
29,Jimmy Butler,202710,0.924,0.775,1.0,1.4779362980182238,90
30,Kentavious Caldwell-Pope,203484,0.732,0.399,1.0,0.8546601728259137,73
31,Toumani Camara,1641739,0.235,0.022,0.912,-0.7587160470729304,33
32,Clint Capela,203991,0.897,0.702,1.0,1.3902880929130552,83
33,Wendell Carter Jr.,1628976,0.069,0.0,0.217,-1.2975901969787815,5
34,Alex Caruso,1627936,0.798,0.5,0.998,1.0689113408607704,78
35,Jordan Clarkson,203903,0.061,0.0,0.168,-1.3235600355284611,4
36,Nic Claxton,1629651,0.279,0.001,0.706,-0.6158819350496926,38
37,John Collins,1628381,0.126,0.0,0.37,-1.1125550973123146,14
38,Mike Conley,201144,0.929,0.797,1.0,1.4941674471117736,92
39,Bilal Coulibaly,1641731,0.288,0.007,0.611,-0.5866658666813032,39
40,Jae Crowder,203109,0.788,0.55,0.997,1.0364490426736708,77
41,Cade Cunningham,1630595,0.178,0.013,0.598,-0.9437511467393974,23
42,Stephen Curry,201939,0.97,0.912,1.0,1.6272628696788811,98
