,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
0,1631386,Taze Moore,3,1,2,0.333,3.4,130.4,106.8,23.6,14.3,0.0,0.0,0.0,14.286,0.206,125.48,513,504,33,413,523,9,83,13,367,514,533,542,56,152,1
1,1631199,Ron Harper Jr.,1,1,0,1.0,3.7,100.0,155.1,-55.1,100.0,0.0,0.0,0.0,0.0,0.0,124.67,542,504,1,1,514,499,552,548,1,514,533,542,1,550,2
2,1631167,Izaiah Brockington,1,1,0,1.0,3.4,127.1,121.0,6.2,0.0,0.143,0.167,0.154,0.0,0.372,119.74,542,504,1,1,524,13,519,106,529,23,167,84,1,3,3
3,1630554,Jason Preston,1,0,1,0.0,1.2,0.0,0.0,0.0,0.0,0.5,0.0,0.2,100.0,0.25,116.76,542,533,15,533,551,552,1,244,529,1,533,23,554,66,4
4,1641926,Dexter Dennis,4,1,3,0.25,7.5,89.9,102.5,-12.7,14.6,0.026,0.235,0.123,10.981,0.298,116.1,505,504,49,455,450,528,45,495,352,372,54,145,56,23,5
5,1631173,Terquavion Smith,12,4,8,0.333,5.8,117.8,118.1,-0.3,18.1,0.0,0.034,0.016,7.231,0.248,113.47,451,448,122,413,477,70,474,256,255,514,528,540,56,76,6
6,1630563,Joshua Primo,2,2,0,1.0,5.1,96.7,89.3,7.4,0.0,0.125,0.0,0.053,57.143,0.283,113.42,527,479,1,1,491,515,18,82,529,43,533,488,553,34,7
7,1630186,Jahmi'us Ramsey,1,0,1,0.0,5.3,88.3,126.5,-38.1,25.0,0.125,0.083,0.1,0.0,0.196,113.19,542,533,15,533,484,531,536,541,115,43,479,215,1,180,8
8,1630535,Greg Brown III,6,3,3,0.5,6.6,105.2,109.9,-4.8,17.4,0.067,0.133,0.1,17.422,0.184,111.67,489,464,49,283,465,442,166,369,270,157,281,215,515,218,9
9,1631262,Jules Bernard,8,1,7,0.125,4.5,97.4,90.9,6.5,23.9,0.064,0.083,0.072,9.579,0.151,111.45,476,504,110,519,503,510,21,102,135,171,479,364,56,361,10
10,1631157,Ryan Rollins,10,1,9,0.1,6.6,118.0,81.4,36.6,21.8,0.036,0.136,0.091,13.867,0.239,110.58,465,504,131,527,466,64,9,6,168,292,269,257,56,91,11
11,1641745,Adam Flagler,1,1,0,1.0,5.5,105.5,100.0,5.5,25.0,0.0,0.0,0.0,0.0,0.225,110.49,542,504,1,1,478,438,33,120,115,514,533,542,1,117,12
