,Player,s,c,eo,ed,np,yos,min_eligible
0,Joel Embiid,0.35005404411764707,0.35005404411764707,1.188,1.092,71.44117647058823,7.0,0
1,Shai Gilgeous-Alexander,0.24549154411764706,0.3151556676470588,1.205,1.093,73.46666666666667,5.0,0
2,Giannis Antetokounmpo,0.33558885294117646,0.33558885294117646,1.194,1.125,74.7457627118644,10.0,0
3,Luka Dončić,0.29458985294117646,0.29458985294117646,1.1840000000000002,1.143,79.31481481481481,5.0,0
4,Nikola Jokić,0.35005404411764707,0.35005404411764707,1.202,1.103,70.06666666666666,8.0,0
5,Donovan Mitchell,0.24383845588235295,0.2789175976890756,1.156,1.0590000000000002,74.61702127659575,6.0,0
6,Tyrese Haliburton,0.042709080882352944,0.26522009348739495,1.195,1.161,69.44,3.0,0
7,Kawhi Leonard,0.33558885294117646,0.33558885294117646,1.175,1.09,70.76363636363637,11.0,0
8,LeBron James,0.35005404411764707,0.35005404411764707,1.148,1.127,74.0,20.0,0
9,Jayson Tatum,0.23970632352941176,0.2555699464285714,1.204,1.087,74.10344827586206,6.0,0
10,Paul George,0.33558885294117646,0.33558885294117646,1.199,1.103,69.27272727272727,13.0,0
11,Derrick White,0.13497899264705882,0.2535767720588235,1.216,1.077,67.40350877192982,6.0,0
12,Kevin Durant,0.35036347794117645,0.35036347794117645,1.17,1.12,78.47272727272727,15.0,0
13,Devin Booker,0.264825,0.264825,1.1840000000000002,1.127,74.92,8.0,0
14,Anthony Edwards,0.09952071323529411,0.24142444747899156,1.1520000000000001,1.0590000000000002,71.49152542372882,3.0,0
15,Jalen Brunson,0.19372548529411765,0.2700829989495798,1.172,1.126,72.03508771929825,5.0,0
16,Kristaps Porziņģis,0.264825,0.26749321638655466,1.204,1.08,62.666666666666664,7.0,0
17,Stephen Curry,0.38173246323529414,0.38173246323529414,1.162,1.157,70.56140350877193,14.0,0
18,Damian Lillard,0.33558885294117646,0.33558885294117646,1.1840000000000002,1.1059999999999999,75.01754385964912,11.0,0
19,Jimmy Butler,0.332235,0.332235,1.151,1.1079999999999999,69.11904761904762,12.0,0
20,Victor Wembanyama,0.08941676470588235,0.2770383182773109,1.074,1.121,62.30357142857143,0.0,0
21,James Harden,0.2620588235294118,0.2620588235294118,1.196,1.126,70.25454545454545,14.0,0
22,Anthony Davis,0.29853,0.29853,1.1420000000000001,1.137,75.94915254237289,11.0,0
23,De'Aaron Fox,0.23970632352941176,0.23970632352941176,1.162,1.147,76.42307692307692,6.0,0
24,Kyrie Irving,0.2723311544117647,0.2723311544117647,1.182,1.143,72.525,12.0,0
25,Chet Holmgren,0.07636764705882353,0.1922619705882353,1.187,1.103,64.32786885245902,0.0,0
26,Fred VanVleet,0.30004632352941174,0.30004632352941174,1.1179999999999999,1.089,76.31481481481481,7.0,0
27,Tyrese Maxey,0.031940588235294116,0.13888337815126053,1.168,1.136,77.50909090909092,3.0,0
