,Card1,Card2,Probability
0,2H,3H,0.178
1,2H,4H,0.204
2,2H,5H,0.171
3,2H,6H,0.15
4,2H,7H,0.189
5,2H,8H,0.193
6,2H,9H,0.183
7,2H,TH,0.217
8,2H,JH,0.241
9,2H,QH,0.242
10,2H,KH,0.267
11,2H,AH,0.301
12,2H,2D,0.213
13,2H,3D,0.125
14,2H,4D,0.117
15,2H,5D,0.124
16,2H,6D,0.155
17,2H,7D,0.142
18,2H,8D,0.143
19,2H,9D,0.161
20,2H,TD,0.177
21,2H,JD,0.174
22,2H,QD,0.215
23,2H,KD,0.237
24,2H,AD,0.272
25,2H,2S,0.21
26,2H,3S,0.116
27,2H,4S,0.12
28,2H,5S,0.138
29,2H,6S,0.145
30,2H,7S,0.142
31,2H,8S,0.122
32,2H,9S,0.157
33,2H,TS,0.167
34,2H,JS,0.179
35,2H,QS,0.197
36,2H,KS,0.214
37,2H,AS,0.237
38,2H,2C,0.226
39,2H,3C,0.113
40,2H,4C,0.125
41,2H,5C,0.162
42,2H,6C,0.147
43,2H,7C,0.119
44,2H,8C,0.151
45,2H,9C,0.155
46,2H,TC,0.179
47,2H,JC,0.187
48,2H,QC,0.202
49,2H,KC,0.23
50,2H,AC,0.244
51,3H,4H,0.183
52,3H,5H,0.187
53,3H,6H,0.22
54,3H,7H,0.179
55,3H,8H,0.174
56,3H,9H,0.186
57,3H,TH,0.209
58,3H,JH,0.229
59,3H,QH,0.267
60,3H,KH,0.254
61,3H,AH,0.294
62,3H,2D,0.12
63,3H,3D,0.232
64,3H,4D,0.145
65,3H,5D,0.13
66,3H,6D,0.155
67,3H,7D,0.144
68,3H,8D,0.148
69,3H,9D,0.175
70,3H,TD,0.172
71,3H,JD,0.171
72,3H,QD,0.197
73,3H,KD,0.206
74,3H,AD,0.239
75,3H,2S,0.143
76,3H,3S,0.268
77,3H,4S,0.159
78,3H,5S,0.134
79,3H,6S,0.174
80,3H,7S,0.152
81,3H,8S,0.155
82,3H,9S,0.138
83,3H,TS,0.18
84,3H,JS,0.187
85,3H,QS,0.221
86,3H,KS,0.215
87,3H,AS,0.263
88,3H,2C,0.126
89,3H,3C,0.258
90,3H,4C,0.14
91,3H,5C,0.147
92,3H,6C,0.175
93,3H,7C,0.138
94,3H,8C,0.14
95,3H,9C,0.169
96,3H,TC,0.17
97,3H,JC,0.209
98,3H,QC,0.212
99,3H,KC,0.22
100,3H,AC,0.254
101,4H,5H,0.212
102,4H,6H,0.216
103,4H,7H,0.215
104,4H,8H,0.221
105,4H,9H,0.217
106,4H,TH,0.232
107,4H,JH,0.248
108,4H,QH,0.243
109,4H,KH,0.26
110,4H,AH,0.293
111,4H,2D,0.098
112,4H,3D,0.135
113,4H,4D,0.264
114,4H,5D,0.175
115,4H,6D,0.203
116,4H,7D,0.161
117,4H,8D,0.173
118,4H,9D,0.192
119,4H,TD,0.19
120,4H,JD,0.213
121,4H,QD,0.223
122,4H,KD,0.247
123,4H,AD,0.269
124,4H,2S,0.113
125,4H,3S,0.149
126,4H,4S,0.265
127,4H,5S,0.173
128,4H,6S,0.187
129,4H,7S,0.169
130,4H,8S,0.176
131,4H,9S,0.185
132,4H,TS,0.189
133,4H,JS,0.222
134,4H,QS,0.249
135,4H,KS,0.242
136,4H,AS,0.245
137,4H,2C,0.12
138,4H,3C,0.142
139,4H,4C,0.29
140,4H,5C,0.181
141,4H,6C,0.182
142,4H,7C,0.174
143,4H,8C,0.189
144,4H,9C,0.176
145,4H,TC,0.185
146,4H,JC,0.202
147,4H,QC,0.226
148,4H,KC,0.241
149,4H,AC,0.269
150,5H,6H,0.237
151,5H,7H,0.235
152,5H,8H,0.224
153,5H,9H,0.242
154,5H,TH,0.231
155,5H,JH,0.238
156,5H,QH,0.266
157,5H,KH,0.276
158,5H,AH,0.316
159,5H,2D,0.13
160,5H,3D,0.155
161,5H,4D,0.17
162,5H,5D,0.298
163,5H,6D,0.202
164,5H,7D,0.192
165,5H,8D,0.175
166,5H,9D,0.21
167,5H,TD,0.193
168,5H,JD,0.202
169,5H,QD,0.234
170,5H,KD,0.255
171,5H,AD,0.278
172,5H,2S,0.132
173,5H,3S,0.159
174,5H,4S,0.165
175,5H,5S,0.308
176,5H,6S,0.212
177,5H,7S,0.21
178,5H,8S,0.197
179,5H,9S,0.161
180,5H,TS,0.181
181,5H,JS,0.196
182,5H,QS,0.207
183,5H,KS,0.254
184,5H,AS,0.284
185,5H,2C,0.12
186,5H,3C,0.136
187,5H,4C,0.183
188,5H,5C,0.302
189,5H,6C,0.218
190,5H,7C,0.198
191,5H,8C,0.185
192,5H,9C,0.21
193,5H,TC,0.185
194,5H,JC,0.201
195,5H,QC,0.235
196,5H,KC,0.272
197,5H,AC,0.288
198,6H,7H,0.248
199,6H,8H,0.247
200,6H,9H,0.265
201,6H,TH,0.261
202,6H,JH,0.278
203,6H,QH,0.275
204,6H,KH,0.271
205,6H,AH,0.365
206,6H,2D,0.136
207,6H,3D,0.164
208,6H,4D,0.18
209,6H,5D,0.181
210,6H,6D,0.323
211,6H,7D,0.198
212,6H,8D,0.217
213,6H,9D,0.226
214,6H,TD,0.223
215,6H,JD,0.233
216,6H,QD,0.219
217,6H,KD,0.268
218,6H,AD,0.275
219,6H,2S,0.133
220,6H,3S,0.156
221,6H,4S,0.197
222,6H,5S,0.194
223,6H,6S,0.333
224,6H,7S,0.237
225,6H,8S,0.203
226,6H,9S,0.217
227,6H,TS,0.219
228,6H,JS,0.218
229,6H,QS,0.244
230,6H,KS,0.275
231,6H,AS,0.272
232,6H,2C,0.132
233,6H,3C,0.173
234,6H,4C,0.172
235,6H,5C,0.196
236,6H,6C,0.311
237,6H,7C,0.222
238,6H,8C,0.217
239,6H,9C,0.224
