,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
,,,,,,,,,,,RATIO,,,,,,,,,
1,Boston Celtics,61,48,13,2953,121.5,110.2,11.3,60.4,2.13,18.9,28.4,73,51.8,12.4,57.6,60.9,98.76,55.6,"6,074"
2,Minnesota Timberwolves,62,43,19,2996,114.6,108,6.6,64.2,1.8,19.2,27.8,72.7,51.4,14.8,56.1,59.7,98.07,54.7,"6,131"
3,Denver Nuggets,62,42,20,2981,117.2,113,4.2,66.3,2.28,20.6,30.5,72.1,51.7,13,55.7,58.5,97.5,52.6,"6,053"
3,Oklahoma City Thunder,61,42,19,2948,119.1,111.5,7.6,60,2.16,19.2,24.7,68.2,47.6,12.3,57.4,61,100.9,53.9,"6,193"
5,Milwaukee Bucks,62,41,21,2991,119,114.6,4.4,60.7,2.08,18.9,25.6,72.9,50,12.5,57.3,60.7,101.44,51.9,"6,321"
6,Cleveland Cavaliers,61,40,21,2948,115.5,110.6,4.9,65.5,2.07,19.8,28.1,72.2,50.6,13.5,55.8,58.7,98.25,53.2,"6,031"
7,LA Clippers,60,39,21,2885,118.8,114.2,4.5,60.4,1.98,18.8,28.7,70.5,50.3,13.2,56.5,60.2,98.4,52.5,"5,919"
8,New Orleans Pelicans,62,37,25,2981,117.3,111.9,5.4,62.9,2.04,19.3,29.1,71.8,50.8,13.4,55.8,59.1,99.39,52.6,"6,166"
9,New York Knicks,62,36,26,2976,117.1,113.5,3.7,58.2,1.81,17.5,33.3,73.3,52.8,13.7,53.6,57.2,96.73,50.9,"5,994"
9,Orlando Magic,62,36,26,2996,113.1,111.2,1.9,60.8,1.66,18.1,30.3,73.3,51.7,15.1,54.2,57.8,97.82,51.2,"6,102"
9,Phoenix Suns,62,36,26,2996,117,114.1,2.9,62.8,1.78,19,29.4,70.5,51.1,14.9,56.2,60.2,99.47,52.9,"6,205"
12,Indiana Pacers,63,35,28,3024,120.3,118.9,1.4,65.9,2.32,21,28.7,69.8,49.1,13,57.9,60.7,102.58,50.9,"6,465"
12,Miami Heat,61,35,26,2933,113.5,112.7,0.9,65.3,2.01,19.1,26.6,72.7,49.7,13.3,53.8,57.9,97.37,50.5,"5,950"
12,Philadelphia 76ers,61,35,26,2938,117.8,114.5,3.3,59.1,2.11,18,29.5,70.1,49.5,11.9,53.5,58,99,50.7,"6,057"
15,Dallas Mavericks,62,34,28,2976,117.6,117.3,0.3,58.5,2.04,18.2,26,70,48,12.3,56.3,59.3,100.88,49.6,"6,257"
15,Los Angeles Lakers,63,34,29,3049,114.7,115.2,-0.4,65.5,2.08,20.2,24.4,72,49.3,13.4,56.2,59.6,101.19,51.4,"6,430"
15,Sacramento Kings,60,34,26,2910,116.7,116.5,0.2,65.2,2.14,20,28.2,74,50.4,13.2,56.3,58.8,100.11,49.1,"6,069"
18,Golden State Warriors,60,32,28,2910,116.8,115.7,1.1,66.7,2,19.8,31.9,72.3,52,14.3,55.3,58.4,100.38,50.5,"6,091"
19,Chicago Bulls,61,29,32,2978,113.2,114.9,-1.6,59.2,2,17.9,29.3,71.8,50.1,12.5,52.9,56.4,96.87,49.1,"6,016"
20,Utah Jazz,62,28,34,3001,115.5,118.4,-2.9,66.5,1.8,19.3,33.1,72.1,52.7,15.5,54.3,58.3,100.95,48.9,"6,319"
21,Atlanta Hawks,61,27,34,2948,117.2,119.2,-1.9,60.2,1.95,18,31.5,70.6,50.3,13,53.7,57.7,101.97,48.5,"6,262"
21,Houston Rockets,61,27,34,2953,112.1,112.3,-0.1,59.5,1.87,17.5,29.2,72.5,50.6,13.1,52.2,55.9,99.67,49.7,"6,136"
23,Brooklyn Nets,62,25,37,2991,113.6,115.8,-2.1,64.3,2.09,19,29.2,71.5,49.8,12.9,53.4,56.4,98.04,48.7,"6,110"
24,Toronto Raptors,62,23,39,2996,113.6,117.4,-3.8,68.1,2.18,20.3,28.7,69.9,49.1,13.3,54,57,99.81,48.7,"6,228"
25,Memphis Grizzlies,62,21,41,2991,106.9,113.4,-6.5,65,1.67,18.1,27.5,70.6,48.3,15.1,51.5,54.8,98.77,46.1,"6,151"
26,Portland Trail Blazers,60,17,43,2915,108.5,116.5,-8,57.8,1.52,16.5,31.7,69,49.2,15.2,50.5,54.3,98.04,43.6,"5,952"
27,Charlotte Hornets,62,15,47,2986,108.6,119.2,-10.6,61.2,1.78,18.2,26,71.4,47.9,14,52.6,55.8,98.45,44.4,"6,127"
28,San Antonio Spurs,62,13,49,2986,109.4,117.2,-7.9,70.6,1.98,20.4,26.9,71.4,48.7,14.6,53.1,56.2,102.2,47.3,"6,358"
29,Detroit Pistons,61,9,52,2943,110.7,119.4,-8.7,63,1.73,18.6,28.4,72.4,50,15.1,53.3,56.8,100.77,45.1,"6,176"
29,Washington Wizards,61,9,52,2933,110.5,119.9,-9.3,65.2,2.03,19.6,24,67.8,45.6,13.4,53.8,56.7,103.66,45,"6,325"
