,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Austin Reaves,LAL,25,63,34,29,31.4,114.2,116.5,-2.3,24.7,2.6,27.7,2.2,10.4,6.4,10.6,57.3,62.1,19.7,101.8,10.8,4203
1,Buddy Hield,PHI,31,63,34,29,27,119.2,118.1,1.1,14.6,2.44,20.8,2.3,9.9,6,8.5,57.5,58.6,18.2,102.96,8.2,3652
1,Obi Toppin,IND,26,63,35,28,22,119.9,117.9,2,8.6,1.78,15,4.8,12.8,8.8,8.4,65.1,66.6,15.8,105.33,9.3,3042
4,Bobby Portis,MIL,29,62,41,21,24,117.9,117,0.9,7.2,1.25,8.8,6.9,22.5,14.7,7,55.4,57.6,21.6,101.42,11.4,3141
4,Cedi Osman,SAS,28,62,13,49,17.6,106.6,120.3,-13.6,13.4,2.55,21.4,1.9,12.1,6.8,8.4,58.2,59.3,14.7,104.51,7.7,2384
4,Christian Braun,DEN,22,62,42,20,19.2,108.3,110.8,-2.5,9.8,2.07,16.3,4.3,12.9,8.6,7.9,49.4,53,15.3,99.08,7.8,2450
4,Collin Sexton,UTA,25,62,28,34,25.1,118,118.4,-0.5,28.1,2.39,21.9,3.2,6.5,4.8,9.2,55.2,61.5,26.6,102.7,12.4,3331
4,Dennis Schroder,BKN,30,62,23,39,30.2,113.7,115.8,-2.1,27.6,3.44,30.1,1.4,7.7,4.5,8.7,51.2,55.3,19.7,99.2,9.3,3871
4,Jeremy Sochan,SAS,20,62,13,49,29.5,107.4,115.7,-8.3,16.5,1.85,21,6,14.4,10.1,11.4,48.8,51.8,18.2,102.23,8,3893
4,Jonas Valanciunas,NOP,31,62,37,25,25.2,119.4,113.4,6,12.3,1.59,15.5,10.7,27,19.1,9.7,59.8,63.3,20.5,98.93,14,3210
4,Mikal Bridges,BKN,27,62,25,37,35.2,112.4,114.5,-2.1,16.2,1.74,15.1,2.2,11.2,6.6,8.7,51.9,56.2,24.9,99.06,10.9,4505
4,Naz Reid,MIN,24,62,43,19,23,111.3,103.4,7.8,7.3,0.88,8.6,4.3,15.6,10.2,9.8,58,59.9,21,100.36,11.3,2986
4,Nickeil Alexander-Walker,MIN,25,62,43,19,23,111.9,105.5,6.4,15.4,2.74,25.9,1.8,6.4,4.2,9.5,54.8,56.5,13.6,100.38,6.7,2982
4,Reggie Jackson,DEN,33,62,42,20,22.7,112.5,111.8,0.7,23.8,3,25.9,1.6,6.8,4.3,8.6,51.1,53,20.2,99.5,8.4,2928
15,Andre Drummond,CHI,30,61,29,32,17.3,113.5,113.7,-0.2,4.4,0.45,5.5,18.7,32.2,25.2,12.2,55.2,56.8,20.3,97.66,15.3,2144
15,Ausar Thompson,DET,21,61,9,52,25.1,107.6,113.3,-5.7,11,1.44,16.5,7.6,17.5,12.4,11.4,50.9,52.6,16.1,101.61,8.5,3212
15,Cason Wallace,OKC,20,61,42,19,20.5,115.2,110.8,4.4,8.5,3.07,19,3.3,7.6,5.6,6.2,61.6,62.7,12.1,101.73,7,2642
15,Chet Holmgren,OKC,21,61,42,19,30.2,118.5,110.3,8.2,12.1,1.64,15.3,5.7,18.5,12.5,9.3,61.3,64.3,20.9,102.87,13.4,3924
15,Coby White,CHI,24,61,29,32,36.7,114.6,115,-0.4,21.3,2.41,21.8,1.5,11.5,6.5,9,54.7,58.3,22.4,97.3,10.6,4544
15,Cole Anthony,ORL,23,61,36,25,22.9,112,110.3,1.7,20.7,1.83,19.9,3.7,14.1,8.9,10.8,48.9,54.5,23.3,97.91,10.8,2857
